"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1SCLX0028","2010-08","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","10",",N","6",",N","2",",N","","","","","37.8",",,N,18,","98.0",",,,N","",""
"US1SCLX0028","2010-09","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","5",",N","3",",N","1",",N","0","5,N","0","5,,N,30,+","32.0",",,N,27,","53.4",",,,N","0","5,,,N"
"US1SCLX0028","2010-10","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","7",",N","3",",N","1",",N","","","","","26.7",",,N,28,","52.2",",,,N","",""
"US1SCLX0028","2011-03","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","11","5,N","7","5,N","1","5,N","","","","","27.2","5,,N,27,","131.9","1,a,,N","",""
"US1SCLX0028","2011-04","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","6","3,N","5","3,N","0","3,N","","","","","13.5","3,,N,23,","41.3","3,,,N","",""
"US1SCLX0028","2011-05","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","7",",N","6",",N","1",",N","","","","","33.5",",,N,04,","65.0",",,,N","",""
"US1SCLX0028","2011-06","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","8","5,N","7","5,N","1","5,N","","","","","49.0","5,,N,03,","110.3","5,,,N","",""
"US1SCLX0028","2011-08","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","5","4,N","3","4,N","0","4,N","","","","","22.6","4,,N,07,","47.0","4,,,N","",""
"US1SCLX0028","2011-09","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","10",",N","6",",N","2",",N","","","","","26.7",",,N,22,","99.5",",,,N","",""
"US1SCLX0028","2011-10","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","5",",N","4",",N","1",",N","","","","","29.5",",,N,19,","55.6",",,,N","",""
"US1SCLX0028","2011-11","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","7","5,N","5","5,N","1","5,N","","","","","26.4","5,,N,23,","75.6","5,,,N","",""
"US1SCLX0028","2014-06","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","8","4,N","5","4,N","1","4,N","","","","","33.0","4,,N,08,","80.7","4,,,N","",""
"US1SCLX0028","2015-06","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","7","2,N","2","2,N","1","2,N","","","","","53.3","2,,N,04,","69.1","2,,,N","",""
"US1SCLX0028","2017-03","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","","","","","","","","","","","","","76.7","4,a,,N","",""
"US1SCLX0028","2017-08","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","6","5,N","2","5,N","0","5,N","","","","","10.7","5,,N,09,","20.0","5,,,N","",""
"US1SCLX0028","2018-06","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","12","2,N","6","2,N","2","2,N","","","","","35.8","2,,N,17,","104.3","2,,,N","",""
"US1SCLX0028","2018-09","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","8","3,N","8","3,N","2","3,N","","","","","78.2","3,,N,11,","198.0",",a,,N","",""
"US1SCLX0028","2019-05","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","6","3,N","3","3,N","1","3,N","","","","","30.7","3,,N,05,","49.9","3,,,N","",""
"US1SCLX0028","2019-06","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","11","2,N","9","2,N","1","2,N","","","","","36.3","2,,N,08,","146.0",",a,,N","",""
"US1SCLX0028","2019-07","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","6","4,N","6","4,N","2","4,N","","","","","52.3","4,,N,20,","142.7","1,a,,N","",""
"US1SCLX0028","2019-08","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","8","1,N","6","1,N","2","1,N","","","","","33.8","1,,N,21,","114.3","1,,,N","",""
"US1SCLX0028","2019-09","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","3",",N","2",",N","1",",N","","","","","37.1",",,N,14,","44.0",",,,N","",""
"US1SCLX0028","2019-10","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","10","3,N","7","3,N","2","3,N","","","","","33.3","3,,N,20,","124.0","1,a,,N","",""
"US1SCLX0028","2020-03","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","9",",N","8",",N","1",",N","","","","","47.5",",,N,25,","129.3",",,,N","",""
"US1SCLX0028","2020-04","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","5","3,N","5","3,N","1","3,N","","","","","34.3","3,,N,13,","102.3",",a,,N","",""
"US1SCLX0028","2020-05","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","8","2,N","5","2,N","2","2,N","","","","","89.2","2,,N,19,","219.3",",a,,N","",""
"US1SCLX0028","2020-07","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","9","1,N","5","1,N","2","1,N","","","","","101.3","1,,N,02,","160.1","1,,,N","",""
"US1SCLX0028","2020-08","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","","","","","","","","","","","","","130.5","4,a,,N","",""
"US1SCLX0028","2020-09","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","","","","","","","","","","","","","52.8","5,a,,N","",""
"US1SCLX0028","2020-11","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","","","","","","","","","","","","","62.2","2,a,,N","",""
"US1SCLX0028","2020-12","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","8","5,N","6","5,N","0","5,N","","","","","15.5","5,,N,25,","64.6","3,a,,N","",""
"US1SCLX0028","2021-04","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","3","1,N","3","1,N","0","1,N","0","4,N","0","4,,N,30,+","22.4","1,,N,25,","39.9","1,,,N","0","4,,,N"
"US1SCLX0028","2021-05","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","4",",N","4",",N","0",",N","","","","","19.1",",,N,13,","57.7",",,,N","",""
"US1SCLX0028","2021-06","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","","","","","","","","","","","","","246.9","1,a,,N","",""
"US1SCLX0028","2021-08","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","7","4,N","5","4,N","1","4,N","","","","","27.9","4,,N,22,","89.9",",a,,N","",""
"US1SCLX0028","2021-09","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","","","","","","","","","","","","","37.1","2,a,,N","",""
"US1SCLX0028","2021-10","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","","","","","","","","","","","","","71.2","2,a,,N","",""
"US1SCLX0028","2021-11","34.126087","-81.333718","122.5","CHAPIN 2.8 SSE, SC US","","","","","","","","","","","","","11.5","1,a,,N","",""
